course_id,course_name,description,duration,difficulty_level,course_img_url,course_file_url
120,"Engineer, automotive Fundamentals",These policy until value show.,4 months,INTERMEDIATE,https://placeimg.com/672/525/any,https://conner-bullock.net/
121,"Surveyor, building Fundamentals",Its mother stage tend window understand budget no. Consider art news region.,1 months,EXPERT,https://www.lorempixel.com/922/955,https://www.hart.net/
122,Television camera operator Fundamentals,Final exactly trial state himself economy. Spend effort relationship animal.,4 months,INTERMEDIATE,https://www.lorempixel.com/272/229,https://white.org/
123,Paediatric nurse Fundamentals,Television worry information series. Son evidence agreement increase.,1 months,INTERMEDIATE,https://placekitten.com/992/248,http://keith-davidson.com/
124,Armed forces training and education officer Fundamentals,Yes spend certainly beat out factor seven. Positive standard talk mention.,3 months,EXPERT,https://placeimg.com/162/398/any,http://conley.com/
125,Metallurgist Fundamentals,Window PM enter check nothing hand always.,1 months,EXPERT,https://dummyimage.com/968x86,https://hines-hill.com/
126,Chief Executive Officer Fundamentals,Development both wife. Half any six garden story.,4 months,EXPERT,https://placekitten.com/82/1010,http://www.bruce.com/
127,Air broker Fundamentals,Attorney teacher red show.,1 months,INTERMEDIATE,https://placekitten.com/879/370,http://conley.com/
128,Furniture designer Fundamentals,Fish science blood determine ago great phone. Enjoy top leave skin also change.,4 months,INTERMEDIATE,https://www.lorempixel.com/35/719,https://www.cervantes.com/
129,Diagnostic radiographer Fundamentals,Organization compare enjoy whatever company.,6 months,BEGINNER,https://placeimg.com/537/389/any,http://www.avery.com/
130,Higher education lecturer Fundamentals,Particular beat watch attack some against outside.,5 months,EXPERT,https://placeimg.com/635/606/any,https://www.barker.com/
131,Industrial/product designer Fundamentals,There may new edge mission.,6 months,EXPERT,https://dummyimage.com/152x377,https://www.turner.com/
132,IT trainer Fundamentals,Issue involve guy heart material child.,3 months,EXPERT,https://dummyimage.com/326x95,https://www.watson.biz/
133,Occupational hygienist,Against peace simple what group medical.,2 months,INTERMEDIATE,https://www.lorempixel.com/624/441,https://www.stephenson.com/
134,Production manager Fundamentals,Morning paper responsibility. Network least again face program ten song.,6 months,EXPERT,https://dummyimage.com/127x677,http://jackson.com/
135,Administrator Fundamentals,Way instead somebody place. The soon mouth example north.,5 months,INTERMEDIATE,https://placeimg.com/228/749/any,https://www.jones.com/
136,Adult guidance worker Fundamentals,Know water push close. Produce picture no investment stop.,4 months,EXPERT,https://dummyimage.com/741x226,https://morgan.com/
137,Podiatrist Fundamentals,Majority family everybody sign. Fall she color would arm pay risk.,6 months,BEGINNER,https://www.lorempixel.com/190/987,http://moore.com/
138,"Copywriter, advertising Fundamentals",About foreign course.,5 months,BEGINNER,https://placekitten.com/448/602,https://williams.com/
139,"Engineer, site Fundamentals",Support type it car. Fall attention cut almost resource.,5 months,BEGINNER,https://placekitten.com/44/109,https://rios-russell.info/
140,Structural engineer Fundamentals,Project wear throughout hold know dinner.,1 months,EXPERT,https://dummyimage.com/519x309,http://www.booker.com/
141,Accommodation manager Fundamentals,Prevent six you country design including.,2 months,BEGINNER,https://placeimg.com/151/255/any,https://www.casey-white.com/
142,Politician's assistant Fundamentals,After tonight thought allow may state five.,2 months,INTERMEDIATE,https://www.lorempixel.com/841/621,http://skinner.com/
143,Waste management officer Fundamentals,Change firm office particular alone trial. Already adult on others.,6 months,EXPERT,https://placekitten.com/232/495,http://www.franklin-johnson.biz/
144,"Designer, ceramics/pottery Fundamentals",Right doctor although. Decade million standard rather born.,4 months,BEGINNER,https://dummyimage.com/364x845,http://vaughn-trevino.com/
145,Barista Fundamentals,Head worker local better. Purpose feeling stand thousand policy theory none.,1 months,INTERMEDIATE,https://www.lorempixel.com/633/455,https://www.obrien.com/
146,"Engineer, control and instrumentation Fundamentals",Apply up hour camera size. Forward agent as still production energy.,2 months,INTERMEDIATE,https://placeimg.com/374/230/any,https://scott.com/
147,"Engineer, control and instrumentation Fundamentals",Tree strong cut page information wonder child. Very respond lay test learn.,6 months,EXPERT,https://placekitten.com/413/592,https://williams-flores.com/
148,Pathologist Fundamentals,Trade relate any wear important choose.,5 months,EXPERT,https://dummyimage.com/446x207,http://woodard-palmer.com/
149,Insurance claims handler Fundamentals,Care consumer full consider ahead. Realize audience job against year catch.,1 months,BEGINNER,https://dummyimage.com/687x395,http://cervantes-gordon.com/
150,Music therapist Fundamentals,Eye could have generation agreement study. Plan member think.,2 months,INTERMEDIATE,https://dummyimage.com/28x672,http://goodwin.com/
151,Commercial horticulturist Fundamentals,Tree low fact huge explain wait above. Work check amount address.,3 months,BEGINNER,https://placekitten.com/311/541,https://lucas-glass.net/
152,"Scientist, research (physical sciences) Fundamentals",Trial practice half. And clearly water resource measure.,4 months,EXPERT,https://dummyimage.com/742x481,https://nelson.com/
153,Educational psychologist Fundamentals,She process main exactly sense development. Myself into sell administration.,3 months,INTERMEDIATE,https://placekitten.com/847/491,https://www.weaver.com/
154,Trading standards officer Fundamentals,Baby sing small goal reduce. Today design trial language choice activity.,1 months,INTERMEDIATE,https://placeimg.com/350/586/any,http://www.sullivan.info/
155,"Education officer, community Fundamentals",Stuff water difference seem set. Son pattern Mrs direction fear official.,3 months,EXPERT,https://placekitten.com/81/995,https://www.stewart.com/
156,Animal technologist Fundamentals,Next today American price involve. Some threat buy born beautiful.,3 months,EXPERT,https://placeimg.com/924/1005/any,http://www.ortiz.com/
157,Site engineer Fundamentals,Just produce natural practice. Day exactly husband huge technology.,6 months,EXPERT,https://www.lorempixel.com/821/825,http://www.moran.com/
158,"Engineer, chemical Fundamentals",Level always fine gas take. Seek structure factor economy none.,5 months,INTERMEDIATE,https://placeimg.com/651/195/any,https://www.walker-jones.com/
159,Tourist information centre manager Fundamentals,Election foreign official forward. Door though assume end about type century.,5 months,INTERMEDIATE,https://dummyimage.com/973x195,https://www.graham.com/
160,"Scientist, biomedical Fundamentals",Live on ground natural page message.,4 months,EXPERT,https://www.lorempixel.com/51/578,https://www.cunningham.com/
161,Analytical chemist Fundamentals,Too to foreign similar policy realize floor. Newspaper if court leg election.,4 months,EXPERT,https://www.lorempixel.com/382/321,http://www.johnson-lewis.net/
162,Senior tax professional/tax inspector Fundamentals,Matter hit society degree.,5 months,EXPERT,https://dummyimage.com/114x99,https://www.ramos-smith.info/
163,Ophthalmologist Fundamentals,Traditional several management. Prepare trouble environment some.,1 months,INTERMEDIATE,https://dummyimage.com/362x513,https://www.perry.net/
164,Education administrator Fundamentals,Family summer service. Just stand watch condition.,2 months,INTERMEDIATE,https://placeimg.com/968/410/any,http://cook-evans.biz/
165,Electronics engineer Fundamentals,Institution both speak Democrat. Way Mr agency control.,4 months,BEGINNER,https://www.lorempixel.com/722/188,http://www.potts.net/
166,Chief Financial Officer Fundamentals,Author decision state recent strong age value. Cup western force garden.,5 months,INTERMEDIATE,https://dummyimage.com/394x407,http://schroeder.org/
167,"Psychologist, sport and exercise Fundamentals",Teacher others work phone agreement man eat.,6 months,INTERMEDIATE,https://www.lorempixel.com/360/133,https://www.anderson-simmons.info/
168,"Scientist, clinical (histocompatibility and immunogenetics) Fundamentals",Technology radio laugh blue anyone general which.,5 months,INTERMEDIATE,https://dummyimage.com/820x159,http://maddox.com/
169,Personnel officer Fundamentals,Still wish clear table positive wind coach. Class teach let.,4 months,INTERMEDIATE,https://placekitten.com/684/984,http://cook.org/
170,Publishing copy Fundamentals,Allow conference future we eat goal finish.,1 months,EXPERT,https://www.lorempixel.com/962/852,https://www.armstrong.com/
171,Retail manager Fundamentals,Trade him thing former protect candidate.,5 months,BEGINNER,https://www.lorempixel.com/628/533,https://www.shepard.com/
172,Immigration officer Fundamentals,Each start wear manage spring. Too evening money may indicate that.,3 months,EXPERT,https://placekitten.com/304/800,http://www.hernandez.com/
173,Product manager Fundamentals,North class different base step area. Much someone reach every treatment.,1 months,EXPERT,https://dummyimage.com/37x892,http://robertson.com/
174,"Librarian, public Fundamentals",From name heavy house relate though. Television present stage.,2 months,INTERMEDIATE,https://placekitten.com/597/132,http://www.hernandez.com/
175,Clinical research associate Fundamentals,Include meet not remain. Decade nice decision political law join guy.,1 months,BEGINNER,https://www.lorempixel.com/126/909,http://gibbs.biz/
176,Pharmacologist Fundamentals,Water poor discuss top director note American.,4 months,EXPERT,https://placekitten.com/13/701,http://www.johnson.com/
177,Homeopath Fundamentals,Manager just summer most. Television or environmental find.,1 months,INTERMEDIATE,https://placekitten.com/467/377,http://www.stephens-jones.com/
178,Risk manager Fundamentals,World evidence include top region understand pattern.,3 months,INTERMEDIATE,https://placeimg.com/682/722/any,https://www.dixon.com/
179,Systems analyst Fundamentals,Discussion employee positive city front wish.,1 months,EXPERT,https://dummyimage.com/338x750,http://www.green.biz/
180,Geophysical data processor Fundamentals,Friend beautiful likely likely right off summer.,6 months,EXPERT,https://www.lorempixel.com/3/326,https://www.chan.com/
181,Furniture designer Fundamentals,Not those lawyer this account specific player. Become down save into.,2 months,EXPERT,https://placekitten.com/176/753,https://howell-maxwell.com/
182,"Engineer, mining Fundamentals",Approach couple represent save through. Us evening whatever.,6 months,INTERMEDIATE,https://www.lorempixel.com/133/993,https://www.price-williams.com/
183,Tax adviser Fundamentals,Live teach environment animal require then.,5 months,BEGINNER,https://www.lorempixel.com/984/1009,http://www.browning-lambert.com/
184,Multimedia specialist Fundamentals,New capital professional open free clearly forget.,4 months,BEGINNER,https://placeimg.com/924/627/any,https://www.wood.biz/
185,Records manager Fundamentals,Maintain analysis building less maybe agree. Party simple account media.,6 months,BEGINNER,https://placeimg.com/647/899/any,http://chambers-hill.com/
186,"Pilot, airline Fundamentals",Audience fear growth. Position above friend face toward truth four talk.,6 months,EXPERT,https://dummyimage.com/341x694,http://blair.org/
187,Energy engineer Fundamentals,Wear bring small teacher. Usually crime next. Idea current case friend.,3 months,EXPERT,https://placekitten.com/234/509,http://www.williams-hobbs.com/
188,"Research officer, trade union Fundamentals",Serve rock figure. Spring color step.,6 months,EXPERT,https://placekitten.com/199/174,https://diaz.com/
189,Youth worker Fundamentals,Media white likely modern agreement activity.,2 months,BEGINNER,https://dummyimage.com/1012x152,https://cortez.biz/
190,Fashion designer Fundamentals,Through mean second fish do half organization.,6 months,INTERMEDIATE,https://placeimg.com/222/441/any,http://www.mayer.com/
191,Arts development officer Fundamentals,Once rule hour. Perhaps finish need over. Activity rich course room.,6 months,EXPERT,https://www.lorempixel.com/259/569,https://www.avila.biz/
192,Planning and development surveyor Fundamentals,Fire your level these movie hard I blood. Water soldier girl body.,3 months,BEGINNER,https://www.lorempixel.com/421/261,http://vazquez.net/
193,"Editor, commissioning Fundamentals",From special low them cultural good.,3 months,BEGINNER,https://placeimg.com/412/105/any,https://www.thomas.net/
194,"Production assistant, television Fundamentals",Cup decision foreign want list deep. Believe plan north fall bed.,3 months,INTERMEDIATE,https://www.lorempixel.com/298/432,http://garcia.com/
195,Automotive engineer Fundamentals,Full will century deal wrong leave. Seat glass value away.,3 months,EXPERT,https://dummyimage.com/985x666,http://perkins.net/
196,Electrical engineer Fundamentals,Board section thought property window.,2 months,EXPERT,https://dummyimage.com/325x679,https://parks.com/
197,"Designer, graphic Fundamentals",White recently give agent military. Product wonder record theory author.,2 months,INTERMEDIATE,https://www.lorempixel.com/775/350,https://www.taylor.com/
198,Aeronautical engineer Fundamentals,Only majority simple. Environmental large say finish.,6 months,INTERMEDIATE,https://placekitten.com/322/412,http://www.berg.com/
199,"Nurse, adult Fundamentals",Possible sense face certain seem begin. Main reveal year rise.,4 months,INTERMEDIATE,https://dummyimage.com/254x454,http://www.anderson.com/
